Time, Quad.GPS.X,,,Time, Quad.IMU.AX,,,
0.105,-0.372319,,,0.005,0.552092,,,
0.205,0.639987,,,0.01,0.073913,,,
0.305,-0.736634,,,0.015,0.523375,,,
0.404998,0.869336,,,0.02,-0.426419,,,
0.504997,0.180194,,,0.025,0.916424,,St. Deviation,0.475515112
0.604996,-0.94533,,,0.03,-0.296237,,,
0.704994,0.887752,,,0.035,0.182526,,,
0.804993,-0.25994,,,0.04,-0.569616,,,
0.904992,-0.450649,,,0.045,0.309447,,,
1.004991,-1.571771,,,0.05,-1.086222,,,
1.104996,-0.470706,,,0.055,-0.000003,,,
1.205,-0.521896,,,0.06,0.41005,,,
1.305005,0.253452,,,0.065,-0.800611,,,
1.40501,0.472187,,,0.07,0.975337,,,
1.505014,-0.728171,,,0.075,0.599153,,,
1.605019,-0.304144,,,0.08,0.178824,,,
1.705024,0.691217,,,0.085,0.497363,,,
,,,,0.09,0.768753,,,
,,,,0.095,-0.036049,,,
,,,,0.1,0.836604,,,
St Deviation,0.700619535,,,0.105,1.05358,,,
,,,,0.11,0.31406,,,
,,,,0.115,0.049779,,,
,,,,0.12,-0.149822,,,
,,,,0.125,-0.106017,,,
,,,,0.13,-1.012512,,,
,,,,0.135,-0.070391,,,
,,,,0.14,0.064975,,,
,,,,0.145,0.412858,,,
,,,,0.15,0.250758,,,
,,,,0.155,-0.610612,,,
,,,,0.16,0.439246,,,
,,,,0.165,-0.07582,,,
,,,,0.17,0.314067,,,
,,,,0.175,0.8823,,,
,,,,0.18,0.061088,,,
,,,,0.185,-0.648964,,,
,,,,0.19,-0.680261,,,
,,,,0.195,-0.023585,,,
,,,,0.2,0.695321,,,
,,,,0.205,-0.66318,,,
,,,,0.21,-0.498581,,,
,,,,0.215,0.155674,,,
,,,,0.22,-0.74518,,,
,,,,0.225,-0.187652,,,
,,,,0.23,0.078067,,,
,,,,0.235,-0.301403,,,
,,,,0.24,-0.252709,,,
,,,,0.245,-0.537499,,,
,,,,0.25,-0.08178,,,
,,,,0.255,-0.688052,,,
,,,,0.26,0.194521,,,
,,,,0.265,-0.268083,,,
,,,,0.27,-0.407808,,,
,,,,0.275,-0.50606,,,
,,,,0.28,0.090042,,,
,,,,0.285,0.252229,,,
,,,,0.29,-0.520411,,,
,,,,0.295,-0.285134,,,
,,,,0.3,-0.032009,,,
,,,,0.305,-0.313447,,,
,,,,0.31,0.599094,,,
,,,,0.314999,-0.020813,,,
,,,,0.319999,0.530601,,,
,,,,0.324999,0.519601,,,
,,,,0.329999,0.594317,,,
,,,,0.334999,-0.111327,,,
,,,,0.339999,-0.269197,,,
,,,,0.344999,-0.042077,,,
,,,,0.349999,-0.621588,,,
,,,,0.354999,-0.199803,,,
,,,,0.359999,0.125073,,,
,,,,0.364999,0.502492,,,
,,,,0.369999,1.156945,,,
,,,,0.374999,0.259563,,,
,,,,0.379999,-0.181714,,,
,,,,0.384999,-0.632048,,,
,,,,0.389999,0.28206,,,
,,,,0.394998,0.170397,,,
,,,,0.399998,-0.025067,,,
,,,,0.404998,-0.831983,,,
,,,,0.409998,0.23128,,,
,,,,0.414998,-0.233153,,,
,,,,0.419998,0.4302,,,
,,,,0.424998,0.087852,,,
,,,,0.429998,-0.554867,,,
,,,,0.434998,-0.336893,,,
,,,,0.439998,-0.228205,,,
,,,,0.444998,0.038858,,,
,,,,0.449998,-1.002565,,,
,,,,0.454998,-1.229714,,,
,,,,0.459998,0.025346,,,
,,,,0.464998,0.346585,,,
,,,,0.469997,-0.575795,,,
,,,,0.474997,-0.517463,,,
,,,,0.479997,0.876848,,,
,,,,0.484997,0.182254,,,
,,,,0.489997,-0.63081,,,
,,,,0.494997,-0.132127,,,
,,,,0.499997,-0.28403,,,
,,,,0.504997,0.315834,,,
,,,,0.509997,-0.391408,,,
,,,,0.514997,0.219189,,,
,,,,0.519997,-0.101491,,,
,,,,0.524997,0.01309,,,
,,,,0.529997,-0.632226,,,
,,,,0.534997,0.096451,,,
,,,,0.539997,0.389306,,,
,,,,0.544997,0.196551,,,
,,,,0.549996,-0.615295,,,
,,,,0.554996,0.056635,,,
,,,,0.559996,-0.495275,,,
,,,,0.564996,0.388006,,,
,,,,0.569996,-0.882861,,,
,,,,0.574996,-0.053748,,,
,,,,0.579996,-0.083198,,,
,,,,0.584996,-0.066145,,,
,,,,0.589996,0.358103,,,
,,,,0.594996,0.430471,,,
,,,,0.599996,-0.976542,,,
,,,,0.604996,0.054894,,,
,,,,0.609996,-0.305806,,,
,,,,0.614996,0.099928,,,
,,,,0.619996,0.352984,,,
,,,,0.624996,-0.266167,,,
,,,,0.629995,0.499003,,,
,,,,0.634995,0.086078,,,
,,,,0.639995,-1.071089,,,
,,,,0.644995,-0.110856,,,
,,,,0.649995,0.298123,,,
,,,,0.654995,0.612452,,,
,,,,0.659995,-0.091202,,,
,,,,0.664995,0.566739,,,
,,,,0.669995,0.042507,,,
,,,,0.674995,0.177943,,,
,,,,0.679995,-0.616472,,,
,,,,0.684995,0.044499,,,
,,,,0.689995,0.013915,,,
,,,,0.694995,0.578066,,,
,,,,0.699995,0.577158,,,
,,,,0.704994,-0.224687,,,
,,,,0.709994,0.629784,,,
,,,,0.714994,-0.25223,,,
,,,,0.719994,-0.020778,,,
,,,,0.724994,0.748856,,,
,,,,0.729994,0.032731,,,
,,,,0.734994,0.613217,,,
,,,,0.739994,-0.68828,,,
,,,,0.744994,0.61632,,,
,,,,0.749994,-0.050317,,,
,,,,0.754994,-0.212214,,,
,,,,0.759994,0.238056,,,
,,,,0.764994,0.402964,,,
,,,,0.769994,-0.478143,,,
,,,,0.774994,0.72519,,,
,,,,0.779994,-0.099824,,,
,,,,0.784993,-0.130249,,,
,,,,0.789993,0.537622,,,
,,,,0.794993,-0.937672,,,
,,,,0.799993,-0.123043,,,
,,,,0.804993,0.14444,,,
,,,,0.809993,-0.390444,,,
,,,,0.814993,-0.233496,,,
,,,,0.819993,-0.179968,,,
,,,,0.824993,0.446996,,,
,,,,0.829993,0.056922,,,
,,,,0.834993,0.301737,,,
,,,,0.839993,0.049344,,,
,,,,0.844993,0.627129,,,
,,,,0.849993,-0.088171,,,
,,,,0.854993,-0.110981,,,
,,,,0.859993,-0.350179,,,
,,,,0.864992,-0.171457,,,
,,,,0.869992,-0.47441,,,
,,,,0.874992,0.108741,,,
,,,,0.879992,-0.095209,,,
,,,,0.884992,-0.393971,,,
